Posture,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z,Mag_X,Mag_Y,Mag_Z
side,-0.02,0.98,0.05,-1.89,1.89,-0.18,66.00,-11.00,16.00
side,-0.02,0.98,0.04,-2.50,1.46,-0.31,64.00,-12.00,20.00
side,-0.02,0.98,0.03,-1.53,0.06,-0.06,67.00,-11.00,19.00
side,-0.02,0.98,0.03,0.12,0.18,-0.18,67.00,-9.00,16.00
side,-0.02,0.98,0.03,1.16,0.18,-0.31,67.00,-10.00,14.00
side,-0.02,0.98,0.03,0.67,0.06,-0.18,67.00,-10.00,16.00
side,-0.02,0.98,0.03,0.31,0.31,-0.18,66.00,-10.00,18.00
side,-0.02,0.98,-0.04,-40.22,2.81,0.43,69.00,-10.00,18.00
side,-0.03,0.98,-0.11,-5.49,-1.46,1.65,71.00,-13.00,9.00
side,-0.03,0.98,0.04,35.28,-2.01,-0.55,66.00,-12.00,22.00
side,-0.02,0.97,0.13,-6.59,-1.34,-0.43,63.00,-9.00,23.00
side,-0.03,0.98,-0.01,-42.36,-7.63,-0.12,67.00,-11.00,14.00
side,-0.03,0.97,-0.16,-50.17,-9.83,3.66,71.00,-9.00,11.00
side,-0.03,0.97,-0.10,79.96,-3.36,-4.94,72.00,-8.00,11.00
side,-0.02,0.98,0.06,62.68,-7.14,-1.22,65.00,-9.00,14.00
side,-0.02,0.97,0.13,-3.11,0.06,-0.18,58.00,-9.00,22.00
side,-0.02,0.98,0.03,-75.81,-0.55,1.04,65.00,-8.00,22.00
side,-0.03,0.97,-0.16,-42.91,-1.83,-0.61,71.00,-8.00,10.00
side,-0.03,0.97,-0.04,113.04,-2.99,-4.46,67.00,-7.00,15.00
side,-0.02,0.97,0.10,50.96,-0.18,-0.37,64.00,-9.00,20.00
side,-0.02,0.97,0.13,-7.81,0.24,0.12,62.00,-7.00,23.00
side,-0.02,0.98,0.05,-18.74,1.89,0.00,65.00,-5.00,14.00
side,-0.02,0.98,0.00,0.67,0.31,-0.24,68.00,-9.00,18.00
side,-0.02,0.98,0.01,3.23,-0.12,-0.55,65.00,-6.00,13.00
side,-0.02,0.98,0.05,7.45,0.24,-0.18,64.00,-7.00,16.00
side,-0.02,0.98,0.04,-9.70,5.98,0.37,64.00,-7.00,18.00
side,-0.02,0.98,0.02,-5.68,7.20,0.49,66.00,-11.00,16.00
side,-0.02,0.98,0.02,3.48,0.18,-0.24,68.00,-9.00,16.00
side,-0.02,0.98,0.04,0.49,-0.55,0.00,66.00,-9.00,20.00
side,-0.02,0.98,0.03,-2.26,0.12,-0.12,66.00,-9.00,24.00
side,-0.02,0.98,0.03,18.31,-1.83,-0.73,63.00,-12.00,24.00
side,-0.02,0.97,0.07,5.13,-0.31,-0.18,65.00,-8.00,21.00
side,-0.02,0.98,0.07,6.04,0.12,-0.24,64.00,-9.00,20.00
side,-0.02,0.98,0.09,-2.44,0.12,-0.18,65.00,-9.00,20.00
side,-0.02,0.97,0.09,1.95,0.06,-0.18,66.00,-6.00,22.00
side,-0.02,0.97,0.10,5.74,-1.89,-0.37,65.00,-8.00,23.00
side,-0.02,0.97,0.11,0.37,0.12,-0.12,62.00,-10.00,23.00
side,-0.02,0.97,0.12,2.87,0.18,-0.12,63.00,-9.00,18.00
side,-0.02,0.97,0.09,-45.90,7.20,0.92,63.00,-7.00,20.00
side,-0.03,0.98,-0.05,-10.99,4.64,-0.06,70.00,-12.00,12.00
side,-0.02,0.98,-0.10,0.73,8.97,-0.31,71.00,-10.00,9.00
side,-0.04,0.98,-0.04,2.14,10.56,-1.46,66.00,-14.00,9.00
side,-0.04,0.97,-0.05,-5.49,12.15,-3.11,66.00,-15.00,8.00
side,-0.03,0.98,-0.06,7.45,13.06,-0.79,61.00,-16.00,4.00
side,-0.02,0.98,-0.04,-3.60,2.38,1.16,59.00,-17.00,6.00
side,-0.03,0.98,-0.00,34.85,-15.99,-0.73,62.00,-14.00,6.00
side,-0.07,0.98,0.02,0.12,-30.46,-0.73,59.00,-13.00,10.00
side,-0.05,0.97,0.02,-1.59,-46.69,-3.60,62.00,-10.00,17.00
side,-0.04,0.97,0.04,3.48,-9.70,0.79,70.00,0.00,21.00
side,-0.03,0.98,0.02,-5.74,7.93,0.55,71.00,-2.00,23.00
side,-0.01,0.98,0.04,-4.27,31.56,0.85,68.00,-6.00,12.00
side,-0.04,0.98,-0.01,-1.28,12.51,0.31,61.00,-12.00,13.00
side,-0.03,0.99,-0.00,-5.62,5.86,0.73,63.00,-13.00,8.00
side,-0.03,0.97,0.03,4.03,-2.38,-1.10,61.00,-15.00,17.00
side,-0.02,0.98,0.02,-9.70,4.15,1.04,62.00,-12.00,11.00
side,-0.02,0.98,0.01,1.46,-0.06,-0.43,63.00,-13.00,11.00
side,-0.03,0.98,0.00,1.16,-0.49,0.43,62.00,-14.00,11.00
side,-0.02,0.98,0.01,-0.24,-0.12,0.06,61.00,-13.00,11.00
side,-0.03,0.98,0.01,-0.18,-0.37,0.00,64.00,-14.00,13.00
side,-0.03,0.98,0.00,-0.06,0.31,-0.18,63.00,-12.00,8.00
side,-0.03,0.98,0.00,-0.06,0.24,-0.12,63.00,-13.00,10.00
side,-0.03,0.98,0.00,0.00,0.06,-0.06,64.00,-14.00,9.00
side,-0.03,0.98,0.00,0.06,0.12,-0.24,63.00,-12.00,10.00
side,-0.03,0.98,0.00,0.67,0.12,-0.24,60.00,-11.00,9.00
side,-0.03,0.98,0.00,-0.55,0.00,0.06,64.00,-11.00,12.00
side,-0.03,0.98,0.00,-0.61,0.06,0.00,63.00,-12.00,15.00
side,-0.03,0.98,0.00,-1.40,-0.31,0.37,64.00,-12.00,11.00
side,-0.03,0.98,0.00,0.49,0.12,-0.12,62.00,-12.00,13.00
side,-0.03,0.98,0.00,0.00,-0.73,-0.24,63.00,-12.00,13.00
side,-0.03,0.98,0.00,0.98,-0.37,-0.49,63.00,-12.00,13.00
side,-0.03,0.98,0.01,4.09,0.24,-1.89,62.00,-15.00,12.00
side,-0.02,0.98,0.02,29.05,-11.96,-1.53,63.00,-11.00,15.00
side,-0.00,0.97,0.10,16.54,-3.85,-0.55,60.00,-9.00,13.00
side,-0.02,0.96,0.10,1.83,1.65,0.00,59.00,-10.00,16.00
side,-0.03,0.98,0.09,0.61,-0.06,-0.24,59.00,-11.00,19.00
side,-0.03,0.97,0.09,-1.46,0.43,-0.12,59.00,-12.00,17.00
side,-0.02,0.97,0.08,-1.89,0.85,-0.06,57.00,-14.00,16.00
side,-0.02,0.97,0.08,-1.16,0.12,-0.18,58.00,-12.00,16.00
side,-0.02,0.97,0.08,0.49,-1.10,-0.18,59.00,-10.00,14.00
side,-0.02,0.97,0.09,-0.31,0.24,0.12,59.00,-12.00,18.00
side,-0.02,0.98,0.07,3.23,0.18,-0.24,59.00,-12.00,15.00
side,-0.02,0.97,0.08,-8.48,-0.24,0.00,59.00,-11.00,14.00
side,-0.02,0.98,0.05,-2.81,1.10,-0.06,61.00,-11.00,13.00
side,-0.03,0.97,0.04,-0.67,1.89,-0.55,62.00,-12.00,15.00
side,-0.02,0.98,0.03,-1.46,0.24,-0.12,61.00,-13.00,12.00
side,-0.02,0.98,0.03,-0.49,0.18,-0.18,59.00,-12.00,17.00
side,-0.02,0.98,0.04,2.26,-0.18,-0.18,60.00,-11.00,15.00
side,-0.02,0.98,0.05,1.04,-0.06,-0.18,62.00,-12.00,11.00
side,-0.02,0.98,0.05,0.18,0.12,-0.24,61.00,-13.00,14.00
side,-0.02,0.98,0.05,0.61,-0.12,-0.06,61.00,-13.00,15.00
side,-0.02,0.98,0.05,-1.59,-1.46,0.12,63.00,-11.00,10.00
side,-0.02,0.98,0.05,2.56,0.12,-0.12,62.00,-12.00,13.00
side,-0.02,0.98,0.06,4.27,1.10,-0.12,62.00,-12.00,13.00
side,-0.02,0.98,0.07,2.62,0.37,-0.12,60.00,-13.00,17.00
side,-0.02,0.97,0.08,-0.67,-0.18,-0.31,59.00,-12.00,14.00
side,-0.02,0.97,0.07,-1.46,0.12,-0.06,59.00,-13.00,18.00
side,-0.02,0.98,0.07,-0.61,0.06,-0.06,59.00,-11.00,20.00
side,-0.02,0.98,0.06,-2.26,-0.49,0.06,62.00,-13.00,15.00
side,-0.02,0.98,0.06,1.34,0.12,-0.24,62.00,-12.00,14.00
side,-0.02,0.98,0.06,1.04,0.24,-0.18,60.00,-11.00,19.00
side,-0.02,0.98,0.06,0.31,0.18,-0.12,59.00,-11.00,13.00
side,-0.02,0.98,0.06,-0.18,0.00,-0.18,60.00,-13.00,14.00
side,-0.02,0.98,0.07,0.18,0.18,-0.12,60.00,-14.00,18.00
side,-0.02,0.97,0.07,-0.31,0.06,-0.06,59.00,-13.00,17.00
side,-0.02,0.98,0.07,-1.16,0.18,-0.18,61.00,-12.00,15.00
side,-0.02,0.98,0.07,1.04,0.00,-0.24,61.00,-10.00,18.00
side,-0.02,0.98,0.07,0.67,0.06,-0.18,59.00,-13.00,15.00
side,-0.02,0.97,0.07,0.79,0.12,-0.24,59.00,-14.00,18.00
side,-0.02,0.98,0.07,1.65,0.06,-0.31,60.00,-13.00,18.00
side,-0.02,0.97,0.08,1.89,0.12,-0.18,60.00,-15.00,20.00
side,-0.02,0.97,0.08,0.00,0.37,-0.18,60.00,-15.00,15.00
side,-0.02,0.97,0.08,-1.16,0.06,-0.06,60.00,-12.00,16.00
side,-0.02,0.98,0.08,-0.67,3.11,0.31,62.00,-10.00,16.00
side,-0.02,0.98,0.08,0.73,0.24,-0.18,60.00,-12.00,19.00
side,-0.02,0.97,0.08,-1.46,0.18,-0.06,63.00,-12.00,12.00
side,-0.02,0.97,0.08,0.55,0.06,-0.06,61.00,-12.00,17.00
side,-0.02,0.97,0.08,0.18,0.12,-0.24,61.00,-13.00,19.00
side,-0.02,0.98,0.07,1.04,0.06,-0.18,59.00,-11.00,13.00
side,-0.02,0.97,0.08,0.06,0.06,-0.18,62.00,-13.00,18.00
side,-0.02,0.97,0.08,-0.43,0.18,-0.18,61.00,-14.00,13.00
side,-0.02,0.98,0.07,0.24,0.12,-0.12,62.00,-13.00,20.00
side,-0.02,0.98,0.07,-0.85,0.12,-0.12,62.00,-13.00,17.00
side,-0.02,0.98,0.07,-0.31,0.06,-0.12,61.00,-14.00,14.00
side,-0.02,0.98,0.07,-0.61,0.06,-0.12,60.00,-12.00,15.00
side,-0.02,0.98,0.07,0.55,0.06,-0.18,62.00,-11.00,15.00
side,-0.02,0.98,0.07,-0.37,0.12,-0.12,60.00,-12.00,13.00
side,-0.02,0.97,0.07,-0.24,0.18,-0.18,61.00,-12.00,14.00
side,-0.02,0.97,0.07,0.00,0.12,-0.12,61.00,-13.00,14.00
side,-0.02,0.98,0.07,0.31,0.18,-0.12,59.00,-12.00,13.00
side,-0.02,0.98,0.07,0.67,0.12,-0.18,62.00,-13.00,19.00
side,-0.02,0.98,0.07,0.73,0.12,-0.18,61.00,-13.00,14.00
side,-0.02,0.98,0.07,0.00,0.12,-0.12,62.00,-12.00,18.00
side,-0.02,0.97,0.08,1.65,0.06,-0.18,60.00,-12.00,16.00
side,-0.02,0.98,0.08,0.24,-0.24,-0.18,62.00,-12.00,18.00
side,-0.02,0.97,0.08,0.55,-0.12,-0.18,61.00,-14.00,12.00
side,-0.02,0.97,0.08,-0.73,0.12,-0.18,60.00,-12.00,15.00
side,-0.02,0.98,0.08,-0.24,0.12,-0.12,60.00,-12.00,15.00
side,-0.02,0.97,0.08,3.60,0.12,-0.24,58.00,-14.00,13.00
side,-0.02,0.97,0.08,-0.92,0.12,-0.12,60.00,-11.00,17.00
side,-0.02,0.98,0.08,-0.12,-0.06,-0.12,60.00,-12.00,16.00
side,-0.02,0.97,0.09,-0.55,-0.12,-0.06,60.00,-10.00,20.00
side,-0.02,0.97,0.08,-1.16,0.37,-0.06,60.00,-12.00,14.00
side,-0.02,0.97,0.08,-2.20,0.79,-0.12,60.00,-11.00,18.00
side,-0.02,0.97,0.08,0.24,0.12,-0.12,60.00,-13.00,14.00
side,-0.02,0.97,0.08,2.26,0.24,-0.18,58.00,-12.00,17.00
side,-0.02,0.97,0.08,0.67,0.18,-0.12,59.00,-15.00,15.00
side,-0.02,0.97,0.09,0.92,0.12,-0.12,60.00,-12.00,13.00
side,-0.02,0.97,0.09,0.12,0.00,-0.12,60.00,-13.00,15.00
side,-0.02,0.97,0.08,1.34,0.79,0.00,59.00,-13.00,13.00
side,-0.02,0.97,0.10,1.77,-0.24,-0.18,62.00,-13.00,21.00
side,-0.02,0.97,0.10,-3.60,0.85,-0.18,60.00,-12.00,18.00
side,-0.02,0.97,0.10,0.73,0.18,-0.18,63.00,-13.00,17.00
side,-0.02,0.97,0.09,-1.53,0.24,-0.18,59.00,-16.00,11.00
side,-0.02,0.97,0.09,-1.16,0.24,-0.18,60.00,-11.00,17.00
side,-0.02,0.97,0.09,-0.49,0.18,-0.12,62.00,-13.00,17.00
side,-0.02,0.97,0.09,0.55,-0.06,-0.12,60.00,-11.00,16.00
side,-0.02,0.97,0.09,-1.04,0.18,-0.12,60.00,-12.00,12.00
side,-0.02,0.97,0.09,-0.73,0.18,-0.12,62.00,-12.00,14.00
side,-0.02,0.97,0.09,-0.37,0.12,-0.12,62.00,-15.00,18.00
side,-0.02,0.98,0.09,0.85,0.12,-0.12,58.00,-12.00,14.00
side,-0.02,0.97,0.09,0.73,0.18,-0.12,61.00,-14.00,18.00
side,-0.02,0.97,0.08,-1.95,0.43,-0.06,60.00,-13.00,19.00
side,-0.02,0.97,0.08,0.61,0.24,-0.18,60.00,-13.00,17.00
side,-0.02,0.97,0.08,0.12,0.31,-0.18,60.00,-11.00,14.00
side,-0.02,0.97,0.08,-0.49,0.37,-0.12,59.00,-14.00,16.00
side,-0.02,0.97,0.08,-1.16,0.18,-0.12,58.00,-14.00,19.00
side,-0.02,0.97,0.08,-0.85,0.18,-0.18,60.00,-13.00,18.00
side,-0.02,0.97,0.08,-0.24,0.18,-0.12,58.00,-13.00,16.00
side,-0.02,0.97,0.08,0.73,0.12,-0.12,61.00,-12.00,16.00
side,-0.02,0.97,0.08,-1.22,0.12,-0.12,60.00,-11.00,14.00
side,-0.02,0.98,0.08,0.67,0.06,-0.06,61.00,-13.00,16.00
side,-0.02,0.97,0.08,-0.37,0.12,-0.18,60.00,-12.00,15.00
side,-0.02,0.97,0.08,0.00,0.12,-0.12,60.00,-16.00,19.00
side,-0.02,0.98,0.08,0.24,0.12,-0.18,60.00,-10.00,14.00
side,-0.02,0.97,0.08,-0.61,0.18,-0.12,62.00,-13.00,14.00
side,-0.02,0.97,0.08,-1.46,0.18,-0.06,62.00,-13.00,16.00
side,-0.02,0.97,0.07,-0.55,0.31,-0.18,59.00,-16.00,12.00
side,-0.02,0.98,0.07,-0.24,0.18,-0.18,59.00,-11.00,16.00
side,-0.02,0.98,0.07,0.24,0.18,-0.12,62.00,-12.00,18.00
side,-0.02,0.97,0.08,0.06,0.24,-0.12,60.00,-12.00,19.00
side,-0.02,0.98,0.07,-0.31,0.24,-0.18,60.00,-11.00,17.00
side,-0.02,0.98,0.08,-0.31,0.12,-0.18,62.00,-13.00,18.00
side,-0.02,0.97,0.08,0.24,0.12,-0.18,60.00,-12.00,16.00
side,-0.02,0.98,0.07,0.06,0.18,-0.12,62.00,-17.00,16.00
side,-0.02,0.97,0.07,0.43,0.12,-0.12,60.00,-15.00,20.00
side,-0.02,0.97,0.08,0.49,0.12,-0.18,60.00,-14.00,17.00
side,-0.02,0.97,0.07,0.00,0.12,-0.12,60.00,-15.00,16.00
side,-0.02,0.97,0.08,0.37,0.18,-0.18,57.00,-14.00,17.00
side,-0.02,0.97,0.08,1.10,0.12,-0.24,61.00,-13.00,19.00
side,-0.02,0.97,0.08,0.18,0.18,-0.12,62.00,-13.00,15.00
side,-0.02,0.98,0.08,-0.24,0.12,-0.12,60.00,-13.00,16.00
side,-0.02,0.97,0.08,0.00,0.12,-0.24,61.00,-13.00,13.00
side,-0.02,0.97,0.08,-0.55,0.12,-0.12,61.00,-13.00,15.00
side,-0.02,0.97,0.08,-0.37,0.18,-0.18,59.00,-12.00,14.00
side,-0.02,0.97,0.08,0.92,0.12,-0.12,60.00,-12.00,13.00
side,-0.02,0.97,0.08,-1.28,0.18,-0.12,61.00,-12.00,20.00
side,-0.02,0.97,0.08,0.00,0.12,-0.12,61.00,-13.00,18.00
side,-0.02,0.97,0.08,-1.53,0.31,-0.12,61.00,-13.00,14.00
side,-0.02,0.97,0.08,0.00,0.24,-0.18,60.00,-13.00,8.00
side,-0.02,0.98,0.07,-0.79,0.24,-0.12,60.00,-11.00,14.00
side,-0.02,0.98,0.07,2.08,0.12,-0.12,60.00,-12.00,14.00
side,-0.02,0.98,0.08,0.06,0.18,-0.18,62.00,-15.00,17.00
side,-0.02,0.98,0.07,-0.55,0.12,-0.06,63.00,-14.00,13.00
side,-0.02,0.98,0.08,1.65,0.06,-0.18,61.00,-13.00,13.00
side,-0.02,0.97,0.08,1.46,0.24,-0.12,62.00,-15.00,11.00
side,-0.02,0.97,0.08,-0.18,0.18,-0.12,60.00,-13.00,13.00
side,-0.02,0.97,0.08,0.18,0.12,-0.18,61.00,-14.00,16.00
side,-0.02,0.98,0.08,-0.43,0.06,-0.12,62.00,-13.00,16.00
side,-0.02,0.97,0.08,-1.10,0.06,-0.12,61.00,-14.00,18.00
side,-0.02,0.97,0.08,-0.49,0.18,-0.18,60.00,-11.00,18.00
side,-0.02,0.98,0.08,0.12,0.18,-0.18,60.00,-14.00,15.00
side,-0.02,0.97,0.08,-0.31,0.18,-0.18,59.00,-12.00,18.00
side,-0.02,0.98,0.08,-0.73,0.18,-0.18,61.00,-15.00,14.00
side,-0.02,0.97,0.07,-1.28,0.18,-0.12,61.00,-13.00,12.00
side,-0.02,0.98,0.07,-0.49,0.12,-0.24,60.00,-15.00,12.00
side,-0.02,0.97,0.07,-0.67,0.43,-0.18,60.00,-12.00,15.00
side,-0.02,0.98,0.07,-0.73,0.24,-0.12,60.00,-13.00,14.00
side,-0.02,0.98,0.07,0.31,0.12,-0.18,59.00,-12.00,16.00
side,-0.02,0.98,0.07,-0.55,0.18,-0.12,60.00,-12.00,16.00
side,-0.02,0.98,0.07,0.79,0.18,-0.18,59.00,-12.00,16.00
side,-0.02,0.98,0.08,0.24,0.12,-0.12,59.00,-12.00,16.00
side,-0.02,0.97,0.08,-0.12,0.18,-0.18,61.00,-12.00,16.00
side,-0.02,0.98,0.07,-0.31,0.18,-0.12,59.00,-13.00,14.00
side,-0.02,0.97,0.09,-3.91,0.18,-0.12,60.00,-14.00,18.00
side,-0.02,0.97,0.08,1.22,0.12,-0.24,62.00,-15.00,18.00
side,-0.02,0.97,0.08,3.11,0.12,-0.18,60.00,-15.00,14.00
side,-0.02,0.97,0.09,3.72,0.06,-0.18,61.00,-16.00,16.00
side,-0.02,0.97,0.09,-0.24,0.18,-0.06,61.00,-15.00,17.00
side,-0.02,0.97,0.08,-1.22,0.18,-0.12,62.00,-13.00,16.00
side,-0.02,0.98,0.08,-0.12,0.18,-0.12,60.00,-13.00,12.00
side,-0.02,0.97,0.08,0.43,0.12,-0.12,61.00,-13.00,15.00
side,-0.02,0.97,0.08,0.61,0.18,-0.18,59.00,-13.00,16.00
side,-0.02,0.97,0.08,-0.18,0.12,-0.12,59.00,-15.00,16.00
side,-0.02,0.98,0.08,0.12,0.12,-0.06,59.00,-13.00,18.00
side,-0.02,0.97,0.08,0.37,0.31,-0.06,59.00,-14.00,16.00
side,-0.02,0.97,0.08,0.18,0.18,-0.12,59.00,-13.00,11.00
side,-0.02,0.97,0.08,0.18,0.06,-0.18,57.00,-15.00,19.00
side,-0.02,0.98,0.08,-1.34,0.12,-0.12,61.00,-15.00,18.00
side,-0.02,0.97,0.08,1.34,0.12,-0.18,60.00,-15.00,12.00
side,-0.02,0.97,0.09,1.04,0.18,-0.18,60.00,-15.00,10.00
side,-0.02,0.97,0.09,-1.46,0.18,-0.18,59.00,-13.00,16.00
side,-0.02,0.97,0.09,0.43,0.18,-0.12,60.00,-15.00,11.00
side,-0.02,0.97,0.09,-0.12,0.12,-0.12,59.00,-13.00,16.00
side,-0.02,0.97,0.09,-0.49,0.18,-0.06,60.00,-16.00,14.00
side,-0.02,0.97,0.09,-1.10,0.18,-0.24,59.00,-13.00,13.00
side,-0.02,0.97,0.08,-1.89,0.37,-0.12,60.00,-14.00,14.00
side,-0.02,0.97,0.08,-1.22,0.18,-0.18,60.00,-16.00,16.00
side,-0.02,0.97,0.08,0.12,0.18,-0.12,60.00,-13.00,11.00
